date,close,volume,pe,ret_pct
2024-01-02,3402.09,8446000000,12.4,0.062
2024-01-03,3404.79,8648441438,12.43,0.079
2024-01-04,3408.02,8822859900,12.45,0.095
2024-01-05,3411.69,8971174245,12.48,0.108
2024-01-08,3415.74,9097732365,12.51,0.119
2024-01-09,3420.13,9208619941,12.54,0.129
2024-01-10,3424.84,9310789331,12.56,0.138
2024-01-11,3429.85,9411107962,12.59,0.146
2024-01-12,3435.18,9515434149,12.62,0.156
2024-01-15,3440.86,9627824883,12.65,0.165
2024-01-16,3446.92,9749965192,12.67,0.176
2024-01-17,3453.39,9880883837,12.7,0.188
2024-01-18,3460.28,10016988053,12.73,0.2
2024-01-19,3467.6,10152414449,12.75,0.211
2024-01-22,3475.32,10279657779,12.78,0.223
2024-01-23,3483.39,10390408195,12.8,0.232
2024-01-24,3491.75,10476504088,12.83,0.24
2024-01-25,3500.29,10530894371,12.85,0.245
2024-01-26,3508.91,10548502515,12.88,0.246
2024-01-29,3517.48,10526895014,12.9,0.244
2024-01-30,3525.89,10466678061,12.93,0.239
2024-01-31,3534.02,10371575767,12.95,0.231
2024-02-01,3541.79,10248178041,12.97,0.22
2024-02-02,3549.13,10105382345,13.0,0.207
2024-02-05,3556.02,9953587114,13.02,0.194
2024-02-06,3562.45,9803721872,13.04,0.181
2024-02-07,3568.46,9666217042,13.07,0.169
2024-02-08,3574.12,9550023163,13.09,0.159
2024-02-09,3579.51,9461783950,13.11,0.151
2024-02-12,3584.73,9405250888,13.13,0.146
2024-02-13,3589.88,9381000784,13.15,0.144
2024-02-14,3595.05,9386484669,13.17,0.144
2024-02-15,3600.33,9416400390,13.19,0.147
2024-02-16,3605.76,9463346052,13.21,0.151
2024-02-19,3611.38,9518681019,13.23,0.156
2024-02-20,3617.18,9573498881,13.24,0.161
2024-02-21,3623.14,9619604974,13.26,0.165
2024-02-22,3629.2,9650391094,13.28,0.167
2024-02-23,3635.31,9661511885,13.29,0.168
2024-02-26,3641.4,9651289738,13.31,0.167
2024-02-27,3647.39,9620805413,13.33,0.165
2024-02-28,3653.25,9573666637,13.34,0.161
2024-02-29,3658.93,9515482793,13.35,0.156
2024-03-01,3664.42,9453106527,13.37,0.15
2024-03-04,3669.73,9393729033,13.38,0.145
2024-03-05,3674.88,9343932114,13.39,0.14
2024-03-06,3679.93,9308805015,13.4,0.137
2024-03-07,3684.93,9291226981,13.41,0.136
2024-03-08,3689.93,9291398222,13.43,0.136
2024-03-11,3695.0,9306674552,13.43,0.137
2024-03-12,3700.15,9331727379,13.44,0.139
2024-03-13,3705.39,9359014678,13.45,0.142
2024-03-14,3710.71,9379514021,13.46,0.144
2024-03-15,3716.05,9383639585,13.47,0.144
2024-03-18,3721.33,9362244316,13.47,0.142
2024-03-19,3726.44,9307598662,13.48,0.137
2024-03-20,3731.25,9214239320,13.48,0.129
2024-03-21,3735.62,9079595253,13.49,0.117
2024-03-22,3739.43,8904322214,13.49,0.102
2024-03-25,3742.54,8692308529,13.49,0.083
2024-03-26,3744.86,8450350590,13.5,0.062
2024-03-27,3746.32,8212467696,13.5,0.039
2024-03-28,3746.87,8485625143,13.5,0.015
2024-03-29,3746.54,8758152001,13.5,-0.009
2024-04-01,3745.34,9019651148,13.5,-0.032
2024-04-02,3743.35,9261242497,13.5,-0.053
2024-04-03,3740.65,9476330119,13.5,-0.072
2024-04-04,3737.35,9661111322,13.49,-0.088
2024-04-05,3733.54,9814775473,13.49,-0.102
2024-04-08,3729.33,9939374585,13.49,-0.113
2024-04-09,3724.8,10039383814,13.48,-0.122
2024-04-10,3720.01,10121004075,13.48,-0.129
2024-04-11,3714.99,10191287196,13.47,-0.135
2024-04-12,3709.77,10257183360,13.46,-0.141
2024-04-15,3704.33,10324618816,13.46,-0.147
2024-04-16,3698.67,10397708152,13.45,-0.153
2024-04-17,3692.75,10478190203,13.44,-0.16
2024-04-18,3686.56,10565151564,13.43,-0.168
2024-04-19,3680.08,10655069540,13.42,-0.176
2024-04-22,3673.34,10742170635,13.41,-0.183
2024-04-23,3666.36,10819065444,13.4,-0.19
2024-04-24,3659.21,10877589802,13.39,-0.195
2024-04-25,3651.97,10909758804,13.38,-0.198
2024-04-26,3644.74,10908727353,13.36,-0.198
2024-04-29,3637.66,10869649691,13.35,-0.194
2024-04-30,3630.84,10790340994,13.34,-0.187
2024-05-01,3624.41,10671665518,13.32,-0.177
2024-05-02,3618.48,10517605503,13.31,-0.163
2024-05-03,3613.15,10334999904,13.29,-0.147
2024-05-06,3608.46,10132978116,13.27,-0.13
2024-05-07,3604.45,9922147298,13.26,-0.111
2024-05-08,3601.1,9713618942,13.24,-0.093
2024-05-09,3598.37,9517978008,13.22,-0.076
2024-05-10,3596.2,9344304375,13.2,-0.06
2024-05-13,3594.48,9199350710,13.18,-0.048
2024-05-14,3593.12,9086963907,13.16,-0.038
2024-05-15,3592.01,9007810664,13.14,-0.031
2024-05-16,3591.05,8959434713,13.12,-0.027
2024-05-17,3590.16,8936637036,13.1,-0.025
2024-05-20,3589.29,8932135362,13.08,-0.024
2024-05-21,3588.4,8937428955,13.06,-0.025
2024-05-22,3587.49,8943772613,13.04,-0.025
2024-05-23,3586.59,8943152350,13.01,-0.025
2024-05-24,3585.73,8929155533,12.99,-0.024
2024-05-27,3584.96,8897640451,12.97,-0.021
2024-05-28,3584.36,8847132848,12.94,-0.017
2024-05-29,3583.97,8778907535,12.92,-0.011
2024-05-30,3583.84,8696748284,12.89,-0.004
2024-05-31,3584.0,8606415059,12.87,0.004
2024-06-03,3584.44,8514880188,12.85,0.012
2024-06-04,3585.15,8429420817,12.82,0.02
2024-06-05,3586.09,8356671020,12.79,0.026
2024-06-06,3587.21,8301741542,12.77,0.031
2024-06-07,3588.43,8267507758,12.74,0.034
2024-06-10,3589.69,8254147941,12.72,0.035
2024-06-11,3590.94,8258986248,12.69,0.035
2024-06-12,3592.14,8276661187,12.66,0.033
2024-06-13,3593.26,8299604214,12.64,0.031
2024-06-14,3594.32,8318778707,12.61,0.03
2024-06-17,3595.37,8324600533,12.58,0.029
2024-06-18,3596.46,8307941007,12.56,0.031
2024-06-19,3597.71,8261103530,12.53,0.035
2024-06-20,3599.22,8221332409,12.5,0.042
2024-06-21,3601.1,8341892110,12.47,0.052
2024-06-24,3603.49,8499879427,12.45,0.066
2024-06-25,3606.49,8691379749,12.42,0.083
2024-06-26,3610.18,8909592790,12.39,0.102
2024-06-27,3614.62,9145460025,12.36,0.123
2024-06-28,3619.84,9388519635,12.34,0.144
2024-07-01,3625.82,9627897236,12.31,0.165
2024-07-02,3632.54,9853326145,12.28,0.185
2024-07-03,3639.91,10056087997,12.25,0.203
2024-07-04,3647.86,10229773610,12.23,0.218
2024-07-05,3656.27,10370784000,12.2,0.231
2024-07-08,3665.04,10478520166,12.17,0.24
2024-07-09,3674.09,10555244645,12.15,0.247
2024-07-10,3683.32,10605633916,12.12,0.251
2024-07-11,3692.67,10636074706,12.09,0.254
2024-07-12,3702.11,10653785266,12.07,0.255
2024-07-15,3711.6,10665861723,12.04,0.257
2024-07-16,3721.16,10678357565,12.01,0.258
2024-07-17,3730.81,10695500275,11.99,0.259
2024-07-18,3740.55,10719133663,11.96,0.261
2024-07-19,3750.42,10748449063,11.94,0.264
2024-07-22,3760.41,10780036330,11.91,0.267
2024-07-23,3770.53,10808249776,11.89,0.269
2024-07-24,3780.73,10825849014,11.86,0.271
2024-07-25,3790.96,10824843829,11.84,0.27
2024-07-26,3801.12,10797449221,11.82,0.268
2024-07-29,3811.11,10737044074,11.79,0.263
2024-07-30,3820.79,10639026055,11.77,0.254
2024-07-31,3830.04,10501466250,11.75,0.242
2024-08-01,3838.72,10325488726,11.73,0.227
2024-08-02,3846.71,10115330107,11.71,0.208
2024-08-05,3853.92,9878069184,11.68,0.187
2024-08-06,3860.28,9623052678,11.66,0.165
2024-08-07,3865.76,9361076578,11.64,0.142
2024-08-08,3870.37,9103409284,11.62,0.119
2024-08-09,3874.16,8860760238,11.6,0.098
2024-08-12,3877.22,8642303751,11.59,0.079
2024-08-13,3879.64,8454861873,11.57,0.062
2024-08-14,3881.54,8302332817,11.55,0.049
2024-08-15,3883.04,8214575258,11.53,0.039
2024-08-16,3884.26,8298278573,11.52,0.031
2024-08-19,3885.29,8353929736,11.5,0.026
2024-08-20,3886.2,8388752072,11.48,0.023
2024-08-21,3887.03,8411170936,11.47,0.021
2024-08-22,3887.8,8429838541,11.46,0.02
2024-08-23,3888.49,8452659995,11.44,0.018
2024-08-26,3889.07,8485927570,11.43,0.015
2024-08-27,3889.49,8533657781,11.42,0.011
2024-08-28,3889.69,8597203002,11.4,0.005
2024-08-29,3889.62,8675178615,11.39,-0.002
2024-08-30,3889.25,8763711542,11.38,-0.009
2024-09-02,3888.56,8856980163,11.37,-0.018
2024-09-03,3887.57,8947983242,11.36,-0.026
2024-09-04,3886.29,9029449956,11.35,-0.033
2024-09-05,3884.79,9094787366,11.35,-0.039
2024-09-06,3883.14,9138957424,11.34,-0.042
2024-09-09,3881.42,9159183244,11.33,-0.044
2024-09-10,3879.72,9155403223,11.32,-0.044
2024-09-11,3878.1,9130419383,11.32,-0.042
2024-09-12,3876.62,9089720159,11.31,-0.038
2024-09-13,3875.31,9040993913,11.31,-0.034
2024-09-16,3874.16,8993383788,11.31,-0.03
2024-09-17,3873.14,8956563365,11.3,-0.026
2024-09-18,3872.17,8939732701,11.3,-0.025
2024-09-19,3871.17,8950643584,11.3,-0.026
2024-09-20,3870.02,8994760067,11.3,-0.03
2024-09-23,3868.59,9074646020,11.3,-0.037
2024-09-24,3866.78,9189646949,11.3,-0.047
2024-09-25,3864.47,9335901487,11.3,-0.06
2024-09-26,3861.58,9506682204,11.3,-0.075
2024-09-27,3858.06,9693029635,11.31,-0.091
2024-09-30,3853.9,9884611648,11.31,-0.108
2024-10-01,3849.11,10070715898,11.31,-0.124
2024-10-02,3843.75,10241268882,11.32,-0.139
2024-10-03,3837.9,10387772507,11.32,-0.152
2024-10-04,3831.68,10504058460,11.33,-0.162
2024-10-07,3825.18,10586780953,11.34,-0.17
2024-10-08,3818.53,10635597311,11.35,-0.174
2024-10-09,3811.83,10653020371,11.35,-0.175
2024-10-10,3805.18,10643962702,11.36,-0.175
2024-10-11,3798.63,10615026555,11.37,-0.172
2024-10-14,3792.23,10573621233,11.38,-0.168
2024-10-15,3786.0,10527008360,11.39,-0.164
2024-10-16,3779.93,10481383141,11.4,-0.16
2024-10-17,3774.0,10441095388,11.42,-0.157
2024-10-18,3768.2,10408098273,11.43,-0.154
2024-10-21,3762.49,10381687232,11.44,-0.152
2024-10-22,3756.86,10358559001,11.46,-0.15
2024-10-23,3751.33,10333184988,11.47,-0.147
2024-10-24,3745.91,10298458053,11.48,-0.144
2024-10-25,3740.68,10246541091,11.5,-0.14
2024-10-28,3735.71,10169823078,11.52,-0.133
2024-10-29,3731.09,10061875879,11.53,-0.123
2024-10-30,3726.96,9918304533,11.55,-0.111
2024-10-31,3723.42,9737394992,11.57,-0.095
2024-11-01,3720.59,9520485202,11.59,-0.076
2024-11-04,3718.58,9272015476,11.6,-0.054
2024-11-05,3717.45,8999249162,11.62,-0.03
2024-11-06,3717.27,8711690658,11.64,-0.005
2024-11-07,3718.04,8420260998,11.66,0.021
2024-11-08,3719.73,8263682146,11.68,0.046
2024-11-11,3722.3,8529376076,11.71,0.069
2024-11-12,3725.64,8767626544,11.73,0.09
2024-11-13,3729.66,8971619619,11.75,0.108
2024-11-14,3734.22,9137485980,11.77,0.122
2024-11-15,3739.2,9264558674,11.79,0.133
2024-11-18,3744.49,9355298728,11.82,0.141
2024-11-19,3749.98,9414899177,11.84,0.147
2024-11-20,3755.6,9450612985,11.86,0.15
2024-11-21,3761.29,9470880256,11.89,0.152
2024-11-22,3767.04,9484351692,11.91,0.153
2024-11-25,3772.84,9498916130,11.94,0.154
2024-11-26,3778.73,9520839009,11.96,0.156
2024-11-27,3784.73,9554105847,11.99,0.159
2024-11-28,3790.9,9600041748,12.01,0.163
2024-11-29,3797.27,9657247028,12.04,0.168
2024-12-02,3803.86,9721853854,12.07,0.174
2024-12-03,3810.68,9788072978,12.09,0.179
2024-12-04,3817.73,9848967411,12.12,0.185
2024-12-05,3824.94,9897364572,12.15,0.189
2024-12-06,3832.27,9926802991,12.17,0.192
2024-12-09,3839.63,9932405705,12.2,0.192
2024-12-10,3846.94,9911580443,12.23,0.19
2024-12-11,3854.1,9864465818,12.25,0.186
2024-12-12,3861.04,9794070740,12.28,0.18
2024-12-13,3867.69,9706088215,12.31,0.172
2024-12-16,3874.02,9608400762,12.34,0.164
2024-12-17,3880.02,9510328929,12.36,0.155
2024-12-18,3885.74,9421703011,12.39,0.147
2024-12-19,3891.22,9351857971,12.42,0.141
2024-12-20,3896.57,9308660447,12.45,0.137
2024-12-23,3901.88,9297673711,12.47,0.136
2024-12-24,3907.28,9321551774,12.5,0.138
2024-12-25,3912.9,9379729115,12.53,0.144
2024-12-26,3918.82,9468440543,12.56,0.151
2024-12-27,3925.14,9581069862,12.58,0.161
2024-12-30,3931.91,9708790335,12.61,0.172
2024-12-31,3939.15,9841428302,12.64,0.184
2025-01-01,3946.84,9968457199,12.66,0.195
2025-01-02,3954.93,10080015248,12.69,0.205
2025-01-03,3963.35,10167837855,12.72,0.213
2025-01-06,3971.99,10226005391,12.74,0.218
2025-01-07,3980.73,10251427601,12.77,0.22
2025-01-08,3989.47,10244014985,12.79,0.219
2025-01-09,3998.09,10206522056,12.82,0.216
2025-01-10,4006.51,10144083446,12.85,0.211
2025-01-13,4014.67,10063497600,12.87,0.204
2025-01-14,4022.53,9972340367,12.9,0.196
2025-01-15,4030.06,9878009333,12.92,0.187
2025-01-16,4037.29,9786807030,12.94,0.179
2025-01-17,4044.23,9703166508,12.97,0.172
2025-01-20,4050.92,9629106683,12.99,0.165
2025-01-21,4057.4,9563979094,13.01,0.16
2025-01-22,4063.67,9504535131,13.04,0.155
2025-01-23,4069.74,9445306973,13.06,0.149
2025-01-24,4075.58,9379260426,13.08,0.144
2025-01-27,4081.14,9298647337,13.1,0.136
2025-01-28,4086.34,9195962776,13.12,0.127
2025-01-29,4091.08,9064900109,13.14,0.116
