date,symbol,momentum_20,fwd_ret_5d
2024-01-30,600519.SH,-0.01,-0.0015
2024-01-30,000858.SZ,0.0049,0.0028
2024-01-30,601318.SH,0.0196,0.006
2024-01-30,600036.SH,0.0036,-0.0007
2024-01-30,000333.SZ,0.0168,0.0046
2024-01-30,601166.SH,0.029,0.0107
2024-01-30,000001.SZ,0.0099,0.0054
2024-01-30,600276.SH,0.0197,0.0084
2024-02-06,600519.SH,-0.0051,-0.0007
2024-02-06,000858.SZ,0.0096,0.0025
2024-02-06,601318.SH,0.0236,0.0063
2024-02-06,600036.SH,0.0068,0.0011
2024-02-06,000333.SZ,0.019,0.0072
2024-02-06,601166.SH,0.0299,0.0124
2024-02-06,000001.SZ,0.0097,0.0049
2024-02-06,600276.SH,0.0182,0.0061
2024-02-13,600519.SH,-0.0004,-0.001
2024-02-13,000858.SZ,0.0136,0.0028
2024-02-13,601318.SH,0.0268,0.0081
2024-02-13,600036.SH,0.009,0.0037
2024-02-13,000333.SZ,0.0199,0.0089
2024-02-13,601166.SH,0.0297,0.0119
2024-02-13,000001.SZ,0.0082,0.0026
2024-02-13,600276.SH,0.0156,0.0036
2024-02-20,600519.SH,0.0036,-0.0007
2024-02-20,000858.SZ,0.0168,0.0046
2024-02-20,601318.SH,0.029,0.0107
2024-02-20,600036.SH,0.0099,0.0054
2024-02-20,000333.SZ,0.0197,0.0084
2024-02-20,601166.SH,0.0282,0.0096
2024-02-20,000001.SZ,0.0056,0.0001
2024-02-20,600276.SH,0.012,0.0025
2024-02-27,600519.SH,0.0068,0.0011
2024-02-27,000858.SZ,0.019,0.0072
2024-02-27,601318.SH,0.0299,0.0124
2024-02-27,600036.SH,0.0097,0.0049
2024-02-27,000333.SZ,0.0182,0.0061
2024-02-27,601166.SH,0.0256,0.0071
2024-02-27,000001.SZ,0.002,-0.001
2024-02-27,600276.SH,0.0076,0.0027
2024-03-05,600519.SH,0.009,0.0037
2024-03-05,000858.SZ,0.0199,0.0089
2024-03-05,601318.SH,0.0297,0.0119
2024-03-05,600036.SH,0.0082,0.0026
2024-03-05,000333.SZ,0.0156,0.0036
2024-03-05,601166.SH,0.022,0.006
2024-03-05,000001.SZ,-0.0024,-0.0008
2024-03-05,600276.SH,0.0028,0.0027
2024-03-12,600519.SH,0.0099,0.0054
2024-03-12,000858.SZ,0.0197,0.0084
2024-03-12,601318.SH,0.0282,0.0096
2024-03-12,600036.SH,0.0056,0.0001
2024-03-12,000333.SZ,0.012,0.0025
2024-03-12,601166.SH,0.0176,0.0062
2024-03-12,000001.SZ,-0.0072,-0.0008
2024-03-12,600276.SH,-0.0022,0.001
2024-03-19,600519.SH,0.0097,0.0049
2024-03-19,000858.SZ,0.0182,0.0061
2024-03-19,601318.SH,0.0256,0.0071
2024-03-19,600036.SH,0.002,-0.001
2024-03-19,000333.SZ,0.0076,0.0027
2024-03-19,601166.SH,0.0128,0.0062
2024-03-19,000001.SZ,-0.0122,-0.0025
2024-03-19,600276.SH,-0.007,-0.0022
2024-03-26,600519.SH,0.0082,0.0026
2024-03-26,000858.SZ,0.0156,0.0036
2024-03-26,601318.SH,0.022,0.006
2024-03-26,600036.SH,-0.0024,-0.0008
2024-03-26,000333.SZ,0.0028,0.0027
2024-03-26,601166.SH,0.0078,0.0045
2024-03-26,000001.SZ,-0.017,-0.0057
2024-03-26,600276.SH,-0.0114,-0.0055
2024-04-02,600519.SH,0.0056,0.0001
2024-04-02,000858.SZ,0.012,0.0025
2024-04-02,601318.SH,0.0176,0.0062
2024-04-02,600036.SH,-0.0072,-0.0008
2024-04-02,000333.SZ,-0.0022,0.001
2024-04-02,601166.SH,0.003,0.0013
2024-04-02,000001.SZ,-0.0214,-0.009
2024-04-02,600276.SH,-0.0151,-0.0072
2024-04-09,600519.SH,0.002,-0.001
2024-04-09,000858.SZ,0.0076,0.0027
2024-04-09,601318.SH,0.0128,0.0062
2024-04-09,600036.SH,-0.0122,-0.0025
2024-04-09,000333.SZ,-0.007,-0.0022
2024-04-09,601166.SH,-0.0014,-0.002
2024-04-09,000001.SZ,-0.0251,-0.0107
2024-04-09,600276.SH,-0.0179,-0.0068
2024-04-16,600519.SH,-0.0024,-0.0008
2024-04-16,000858.SZ,0.0028,0.0027
2024-04-16,601318.SH,0.0078,0.0045
2024-04-16,600036.SH,-0.017,-0.0057
2024-04-16,000333.SZ,-0.0114,-0.0055
2024-04-16,601166.SH,-0.0051,-0.0037
2024-04-16,000001.SZ,-0.0279,-0.0103
2024-04-16,600276.SH,-0.0196,-0.0055
2024-04-23,600519.SH,-0.0072,-0.0008
2024-04-23,000858.SZ,-0.0022,0.001
2024-04-23,601318.SH,0.003,0.0013
2024-04-23,600036.SH,-0.0214,-0.009
2024-04-23,000333.SZ,-0.0151,-0.0072
2024-04-23,601166.SH,-0.0079,-0.0033
2024-04-23,000001.SZ,-0.0296,-0.009
2024-04-23,600276.SH,-0.02,-0.005
2024-04-30,600519.SH,-0.0122,-0.0025
2024-04-30,000858.SZ,-0.007,-0.0022
2024-04-30,601318.SH,-0.0014,-0.002
2024-04-30,600036.SH,-0.0251,-0.0107
2024-04-30,000333.SZ,-0.0179,-0.0068
2024-04-30,601166.SH,-0.0096,-0.002
2024-04-30,000001.SZ,-0.03,-0.0085
2024-04-30,600276.SH,-0.0192,-0.0059
2024-05-07,600519.SH,-0.017,-0.0057
2024-05-07,000858.SZ,-0.0114,-0.0055
2024-05-07,601318.SH,-0.0051,-0.0037
2024-05-07,600036.SH,-0.0279,-0.0103
2024-05-07,000333.SZ,-0.0196,-0.0055
2024-05-07,601166.SH,-0.01,-0.0015
2024-05-07,000001.SZ,-0.0292,-0.0094
2024-05-07,600276.SH,-0.0172,-0.0071
2024-05-14,600519.SH,-0.0214,-0.009
2024-05-14,000858.SZ,-0.0151,-0.0072
2024-05-14,601318.SH,-0.0079,-0.0033
2024-05-14,600036.SH,-0.0296,-0.009
