time,contract,last,bid,ask,volume
2026-09-18 09:00:00,rb2610,3183.0,3182.5,3183.5,1200
2026-09-18 09:01:00,rb2610,3183.8,3183.3,3184.3,1207
2026-09-18 09:02:00,rb2610,3184.4,3183.9,3184.9,1214
2026-09-18 09:03:00,rb2610,3184.8,3184.3,3185.3,1221
2026-09-18 09:04:00,rb2610,3185.1,3184.6,3185.6,1228
2026-09-18 09:05:00,rb2610,3185.2,3184.7,3185.7,1235
2026-09-18 09:06:00,rb2610,3185.2,3184.7,3185.7,1242
2026-09-18 09:07:00,rb2610,3185.1,3184.6,3185.6,1249
2026-09-18 09:08:00,rb2610,3185.0,3184.5,3185.5,1256
2026-09-18 09:09:00,rb2610,3184.8,3184.3,3185.3,1263
2026-09-18 09:10:00,rb2610,3184.8,3184.3,3185.3,1270
2026-09-18 09:11:00,rb2610,3184.7,3184.2,3185.2,1277
2026-09-18 09:12:00,rb2610,3184.8,3184.3,3185.3,1284
2026-09-18 09:13:00,rb2610,3185.0,3184.5,3185.5,1291
2026-09-18 09:14:00,rb2610,3185.2,3184.7,3185.7,1298
2026-09-18 09:15:00,rb2610,3185.5,3185.0,3186.0,1305
2026-09-18 09:16:00,rb2610,3185.9,3185.4,3186.4,1312
2026-09-18 09:17:00,rb2610,3186.3,3185.8,3186.8,1319
2026-09-18 09:18:00,rb2610,3186.6,3186.1,3187.1,1326
2026-09-18 09:19:00,rb2610,3187.0,3186.5,3187.5,1333
2026-09-18 09:20:00,rb2610,3187.2,3186.7,3187.7,1340
2026-09-18 09:21:00,rb2610,3187.3,3186.8,3187.8,1347
2026-09-18 09:22:00,rb2610,3187.3,3186.8,3187.8,1354
2026-09-18 09:23:00,rb2610,3187.0,3186.5,3187.5,1361
2026-09-18 09:24:00,rb2610,3186.5,3186.0,3187.0,1368
2026-09-18 09:25:00,rb2610,3185.8,3185.3,3186.3,1375
2026-09-18 09:26:00,rb2610,3184.9,3184.4,3185.4,1382
2026-09-18 09:27:00,rb2610,3183.8,3183.3,3184.3,1389
2026-09-18 09:28:00,rb2610,3182.5,3182.0,3183.0,1396
2026-09-18 09:29:00,rb2610,3181.1,3180.6,3181.6,1403
2026-09-18 09:30:00,rb2610,3179.5,3179.0,3180.0,1410
2026-09-18 09:31:00,rb2610,3177.9,3177.4,3178.4,1417
2026-09-18 09:32:00,rb2610,3176.3,3175.8,3176.8,1424
2026-09-18 09:33:00,rb2610,3174.8,3174.3,3175.3,1431
2026-09-18 09:34:00,rb2610,3173.4,3172.9,3173.9,1438
2026-09-18 09:35:00,rb2610,3172.2,3171.7,3172.7,1445
2026-09-18 09:36:00,rb2610,3171.2,3170.7,3171.7,1452
2026-09-18 09:37:00,rb2610,3170.4,3169.9,3170.9,1459
2026-09-18 09:38:00,rb2610,3170.0,3169.5,3170.5,1466
2026-09-18 09:39:00,rb2610,3169.7,3169.2,3170.2,1473
2026-09-18 09:40:00,rb2610,3169.8,3169.3,3170.3,1480
2026-09-18 09:41:00,rb2610,3170.1,3169.6,3170.6,1487
2026-09-18 09:42:00,rb2610,3170.6,3170.1,3171.1,1494
2026-09-18 09:43:00,rb2610,3171.3,3170.8,3171.8,1501
2026-09-18 09:44:00,rb2610,3172.1,3171.6,3172.6,1508
